"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"2922198";"2011";"AL";"Alabama";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"21.1";"";"";"19.7";"22.5";"1638";"Overall";"Overall";"ADDEPEV2";"3";"3";"";"";"";"";"";""
"2922199";"2011";"AL";"Alabama";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"78.9";"";"";"77.5";"80.3";"6020";"Overall";"Overall";"ADDEPEV2";"3";"3";"";"";"";"";"";""
"2922380";"2011";"AK";"Alaska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.5";"";"";"14.7";"18.3";"608";"Overall";"Overall";"ADDEPEV2";"4";"4";"";"";"";"";"";""
"2922381";"2011";"AK";"Alaska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"83.5";"";"";"81.7";"85.3";"2902";"Overall";"Overall";"ADDEPEV2";"4";"4";"";"";"";"";"";""
"2922463";"2011";"AZ";"Arizona";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"17.3";"";"";"15.5";"19.1";"1231";"Overall";"Overall";"ADDEPEV2";"5";"5";"";"";"";"";"";""
"2922464";"2011";"AZ";"Arizona";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"82.7";"";"";"80.9";"84.5";"5217";"Overall";"Overall";"ADDEPEV2";"5";"5";"";"";"";"";"";""
"2922643";"2011";"AR";"Arkansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"22.9";"";"";"20.8";"24.9";"970";"Overall";"Overall";"ADDEPEV2";"6";"6";"";"";"";"";"";""
"2922644";"2011";"AR";"Arkansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"77.1";"";"";"75.1";"79.2";"3739";"Overall";"Overall";"ADDEPEV2";"6";"6";"";"";"";"";"";""
"2922331";"2011";"CA";"California";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"12.1";"";"";"11.4";"12.8";"2321";"Overall";"Overall";"ADDEPEV2";"7";"7";"";"";"";"";"";""
"2922332";"2011";"CA";"California";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"87.9";"";"";"87.2";"88.6";"14577";"Overall";"Overall";"ADDEPEV2";"7";"7";"";"";"";"";"";""
"2922514";"2011";"CO";"Colorado";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"17.3";"";"";"16.3";"18.2";"2425";"Overall";"Overall";"ADDEPEV2";"8";"8";"";"";"";"";"";""
"2922515";"2011";"CO";"Colorado";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"82.7";"";"";"81.8";"83.7";"11115";"Overall";"Overall";"ADDEPEV2";"8";"8";"";"";"";"";"";""
"2922696";"2011";"CT";"Connecticut";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.2";"";"";"13.9";"16.4";"1156";"Overall";"Overall";"ADDEPEV2";"9";"9";"";"";"";"";"";""
"2922697";"2011";"CT";"Connecticut";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"84.8";"";"";"83.6";"86.1";"5640";"Overall";"Overall";"ADDEPEV2";"9";"9";"";"";"";"";"";""
"2923094";"2011";"DE";"Delaware";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"14.2";"";"";"12.7";"15.7";"702";"Overall";"Overall";"ADDEPEV2";"10";"10";"";"";"";"";"";""
"2923095";"2011";"DE";"Delaware";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"85.8";"";"";"84.3";"87.3";"4071";"Overall";"Overall";"ADDEPEV2";"10";"10";"";"";"";"";"";""
"2922766";"2011";"DC";"District of Columbia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.0";"";"";"14.4";"17.6";"755";"Overall";"Overall";"ADDEPEV2";"11";"11";"";"";"";"";"";""
"2922767";"2011";"DC";"District of Columbia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"84.0";"";"";"82.4";"85.6";"3779";"Overall";"Overall";"ADDEPEV2";"11";"11";"";"";"";"";"";""
"2922849";"2011";"FL";"Florida";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.3";"";"";"15.2";"17.4";"2254";"Overall";"Overall";"ADDEPEV2";"12";"12";"";"";"";"";"";""
"2922850";"2011";"FL";"Florida";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"83.7";"";"";"82.6";"84.8";"10057";"Overall";"Overall";"ADDEPEV2";"12";"12";"";"";"";"";"";""
"2922932";"2011";"GA";"Georgia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"14.7";"";"";"13.6";"15.8";"1491";"Overall";"Overall";"ADDEPEV2";"13";"13";"";"";"";"";"";""
"2922933";"2011";"GA";"Georgia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"85.3";"";"";"84.2";"86.4";"8423";"Overall";"Overall";"ADDEPEV2";"13";"13";"";"";"";"";"";""
"2923015";"2011";"HI";"Hawaii";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"10.5";"";"";"9.4";"11.7";"907";"Overall";"Overall";"ADDEPEV2";"14";"14";"";"";"";"";"";""
"2923016";"2011";"HI";"Hawaii";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"89.5";"";"";"88.3";"90.6";"6664";"Overall";"Overall";"ADDEPEV2";"14";"14";"";"";"";"";"";""
"2923392";"2011";"ID";"Idaho";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"19.4";"";"";"17.9";"21.0";"1253";"Overall";"Overall";"ADDEPEV2";"15";"15";"";"";"";"";"";""
"2923393";"2011";"ID";"Idaho";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"80.6";"";"";"79.0";"82.1";"4798";"Overall";"Overall";"ADDEPEV2";"15";"15";"";"";"";"";"";""
"2923179";"2011";"IL";"Illinois";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.1";"";"";"14.6";"17.6";"900";"Overall";"Overall";"ADDEPEV2";"16";"16";"";"";"";"";"";""
"2923180";"2011";"IL";"Illinois";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"83.9";"";"";"82.4";"85.4";"4559";"Overall";"Overall";"ADDEPEV2";"16";"16";"";"";"";"";"";""
"2923262";"2011";"IN";"Indiana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"20.7";"";"";"19.4";"21.9";"1717";"Overall";"Overall";"ADDEPEV2";"17";"17";"";"";"";"";"";""
"2923263";"2011";"IN";"Indiana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"79.3";"";"";"78.1";"80.6";"6733";"Overall";"Overall";"ADDEPEV2";"17";"17";"";"";"";"";"";""
"2923652";"2011";"IA";"Iowa";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.4";"";"";"14.3";"16.6";"1074";"Overall";"Overall";"ADDEPEV2";"18";"18";"";"";"";"";"";""
"2923653";"2011";"IA";"Iowa";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"84.6";"";"";"83.4";"85.7";"6248";"Overall";"Overall";"ADDEPEV2";"18";"18";"";"";"";"";"";""
"2923523";"2011";"KS";"Kansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.8";"";"";"15.1";"16.4";"3360";"Overall";"Overall";"ADDEPEV2";"19";"19";"";"";"";"";"";""
