"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"2937594";"2014";"AL";"Alabama";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"21.1";"";"";"19.9";"22.4";"1961";"Overall";"Overall";"ADDEPEV2";"3";"3";"";"";"";"";"";""
"2937595";"2014";"AL";"Alabama";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"78.9";"";"";"77.6";"80.1";"6650";"Overall";"Overall";"ADDEPEV2";"3";"3";"";"";"";"";"";""
"2938027";"2014";"AK";"Alaska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"15.4";"";"";"13.9";"16.9";"717";"Overall";"Overall";"ADDEPEV2";"4";"4";"";"";"";"";"";""
"2938028";"2014";"AK";"Alaska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"84.6";"";"";"83.1";"86.1";"3656";"Overall";"Overall";"ADDEPEV2";"4";"4";"";"";"";"";"";""
"2938522";"2014";"AZ";"Arizona";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.7";"";"";"17.6";"19.8";"2809";"Overall";"Overall";"ADDEPEV2";"5";"5";"";"";"";"";"";""
"2938523";"2014";"AZ";"Arizona";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"81.3";"";"";"80.2";"82.4";"11992";"Overall";"Overall";"ADDEPEV2";"5";"5";"";"";"";"";"";""
"2938256";"2014";"AR";"Arkansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"21.5";"";"";"19.6";"23.3";"1111";"Overall";"Overall";"ADDEPEV2";"6";"6";"";"";"";"";"";""
"2938257";"2014";"AR";"Arkansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"78.5";"";"";"76.7";"80.4";"4114";"Overall";"Overall";"ADDEPEV2";"6";"6";"";"";"";"";"";""
"2938575";"2014";"CA";"California";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"13.1";"";"";"12.3";"14.0";"1317";"Overall";"Overall";"ADDEPEV2";"7";"7";"";"";"";"";"";""
"2938576";"2014";"CA";"California";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"86.9";"";"";"86.0";"87.7";"7464";"Overall";"Overall";"ADDEPEV2";"7";"7";"";"";"";"";"";""
"2938307";"2014";"CO";"Colorado";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"16.9";"";"";"16.1";"17.7";"2301";"Overall";"Overall";"ADDEPEV2";"8";"8";"";"";"";"";"";""
"2938308";"2014";"CO";"Colorado";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"83.1";"";"";"82.3";"83.9";"11030";"Overall";"Overall";"ADDEPEV2";"8";"8";"";"";"";"";"";""
"2938819";"2014";"CT";"Connecticut";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.2";"";"";"16.9";"19.5";"1440";"Overall";"Overall";"ADDEPEV2";"9";"9";"";"";"";"";"";""
"2938820";"2014";"CT";"Connecticut";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"81.8";"";"";"80.5";"83.1";"6474";"Overall";"Overall";"ADDEPEV2";"9";"9";"";"";"";"";"";""
"2938942";"2014";"DE";"Delaware";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"18.3";"";"";"16.4";"20.1";"802";"Overall";"Overall";"ADDEPEV2";"10";"10";"";"";"";"";"";""
"2938943";"2014";"DE";"Delaware";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Age-adjusted Prevalence";"81.7";"";"";"79.9";"83.6";"3483";"Overall";"Overall";"ADDEPEV2";"10";"10";"";"";"";"";"";""
